epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.9882513880729675,0.001,0.5512891411781311,0.43103376030921936,0.7271628975868225,0.5176530480384827,0.3933151662349701
1,0.5511099100112915,0.001,0.49860242009162903,0.3331524133682251,1.4307312965393066,0.9930827617645264,1.2991737127304077
2,0.3962087035179138,0.001,0.4809544086456299,0.31099826097488403,0.336192786693573,0.45197564363479614,0.2855243980884552
3,0.3244757354259491,0.001,0.462923139333725,0.2908676266670227,0.28196051716804504,0.42763930559158325,0.2612811326980591
4,0.3041681945323944,0.001,0.45718851685523987,0.28572073578834534,0.27351465821266174,0.43352562189102173,0.2575848698616028
5,0.29126983880996704,0.001,0.44876185059547424,0.2775658667087555,0.2681513726711273,0.4254164397716522,0.25659480690956116
6,0.2846795320510864,0.001,0.44306808710098267,0.2728971540927887,0.2540263533592224,0.41686680912971497,0.24327926337718964
7,0.279534250497818,0.001,0.43756401538848877,0.26817014813423157,0.2493896186351776,0.39686620235443115,0.23788510262966156
8,0.27582886815071106,0.001,0.4341376721858978,0.26468831300735474,0.2763109803199768,0.4478875994682312,0.26538175344467163
9,0.2716832458972931,0.001,0.4294570982456207,0.26123300194740295,0.3171742558479309,0.4550313949584961,0.3053332269191742
10,0.2680445909500122,0.001,0.42532816529273987,0.25830405950546265,0.23888173699378967,0.40533578395843506,0.22955060005187988
11,0.2645606994628906,0.001,0.4210895001888275,0.25437411665916443,0.24071983993053436,0.3929554522037506,0.23025771975517273
12,0.2604113817214966,0.001,0.41746899485588074,0.25127291679382324,0.22813071310520172,0.3820681571960449,0.21915699541568756
13,0.25971460342407227,0.001,0.41526782512664795,0.25066420435905457,0.2335536926984787,0.39064455032348633,0.22468876838684082
14,0.257133811712265,0.001,0.41227298974990845,0.24849838018417358,0.23235543072223663,0.386378675699234,0.22413882613182068
15,0.253722608089447,0.001,0.40899574756622314,0.2457646280527115,0.2247360795736313,0.3789674639701843,0.21714447438716888
16,0.2522171437740326,0.001,0.40790051221847534,0.24491995573043823,0.22083131968975067,0.37484806776046753,0.21400342881679535
17,0.24976053833961487,0.001,0.40460747480392456,0.24313850700855255,0.22514484822750092,0.3919355273246765,0.2191026210784912
